Dataset,Noise_Type,Noise_Rate,Method,Causality,Time
waveform,instance,0.01,gies,causal,
waveform,instance,0.01,lingam,unkown,
waveform,pair,0.01,pc,anticausal,
waveform,pair,0.01,ges,anticausal,
waveform,pair,0.01,gies,anticausal,
waveform,pair,0.01,lingam,unkown,
waveform,sym,0.01,pc,anticausal,
waveform,sym,0.01,ges,anticausal,
waveform,sym,0.01,gies,anticausal,
waveform,sym,0.01,lingam,unkown,
waveform,instance,0.2,pc,anticausal,
waveform,instance,0.2,ges,causal,
waveform,instance,0.2,gies,causal,
waveform,instance,0.2,lingam,unkown,
waveform,pair,0.2,pc,anticausal,
waveform,pair,0.2,ges,causal,
waveform,pair,0.2,gies,causal,
waveform,pair,0.2,lingam,unkown,
waveform,sym,0.2,pc,anticausal,
waveform,sym,0.2,ges,anticausal,
waveform,sym,0.2,gies,anticausal,
waveform,sym,0.2,lingam,unkown,
waveform,instance,0.4,pc,anticausal,
waveform,instance,0.4,ges,causal,
waveform,instance,0.4,gies,causal,
waveform,instance,0.4,lingam,unkown,
waveform,pair,0.4,pc,anticausal,
waveform,pair,0.4,ges,causal,
waveform,pair,0.4,gies,causal,
waveform,pair,0.4,lingam,unkown,
waveform,sym,0.4,pc,anticausal,
waveform,sym,0.4,ges,causal,
waveform,sym,0.4,gies,causal,
waveform,sym,0.4,lingam,unkown,
secstr,instance,0.01,pc,anticausal,
secstr,instance,0.01,ges,anticausal,
secstr,instance,0.01,gies,anticausal,
secstr,instance,0.01,lingam,unkown,
secstr,pair,0.01,pc,anticausal,
secstr,pair,0.01,ges,anticausal,
secstr,pair,0.01,gies,anticausal,
secstr,pair,0.01,lingam,unkown,
secstr,sym,0.01,pc,anticausal,
secstr,sym,0.01,ges,anticausal,
secstr,sym,0.01,gies,anticausal,
secstr,sym,0.01,lingam,unkown,
secstr,instance,0.2,pc,anticausal,
secstr,instance,0.2,ges,causal,
secstr,instance,0.2,gies,causal,
secstr,instance,0.2,lingam,unkown,
secstr,pair,0.2,pc,anticausal,
secstr,pair,0.2,ges,anticausal,
secstr,pair,0.2,gies,anticausal,
secstr,pair,0.2,lingam,unkown,
secstr,sym,0.2,pc,anticausal,
secstr,sym,0.2,ges,anticausal,
secstr,sym,0.2,gies,anticausal,
secstr,sym,0.2,lingam,unkown,
secstr,instance,0.4,pc,anticausal,
secstr,instance,0.4,ges,anticausal,
secstr,instance,0.4,gies,anticausal,
secstr,instance,0.4,lingam,unkown,
secstr,pair,0.4,pc,anticausal,
secstr,pair,0.4,ges,causal,
secstr,pair,0.4,gies,causal,
secstr,pair,0.4,lingam,unkown,
secstr,sym,0.4,pc,anticausal,
secstr,sym,0.4,ges,causal,
secstr,sym,0.4,gies,causal,
secstr,sym,0.4,lingam,unkown,
letter,instance,0.01,pc,anticausal,
letter,instance,0.01,ges,anticausal,
letter,instance,0.01,gies,anticausal,
letter,instance,0.01,lingam,unkown,
letter,instance,0.01,cam,anticausal,
letter,pair,0.01,pc,causal,
letter,pair,0.01,ges,anticausal,
letter,pair,0.01,gies,anticausal,
letter,pair,0.01,lingam,unkown,
letter,pair,0.01,cam,anticausal,
letter,sym,0.01,pc,anticausal,
letter,sym,0.01,ges,anticausal,
letter,sym,0.01,gies,anticausal,
letter,sym,0.01,lingam,unkown,
letter,sym,0.01,cam,anticausal,
letter,instance,0.2,pc,anticausal,
letter,instance,0.2,ges,anticausal,
letter,instance,0.2,gies,anticausal,
letter,instance,0.2,lingam,unkown,
letter,instance,0.2,cam,anticausal,
letter,pair,0.2,pc,anticausal,
letter,pair,0.2,ges,anticausal,
letter,pair,0.2,gies,anticausal,
letter,pair,0.2,lingam,unkown,
letter,pair,0.2,cam,anticausal,
letter,sym,0.2,pc,anticausal,
letter,sym,0.2,ges,anticausal,
letter,sym,0.2,gies,anticausal,
letter,sym,0.2,lingam,unkown,
letter,sym,0.2,cam,anticausal,
letter,instance,0.4,pc,anticausal,
letter,instance,0.4,ges,anticausal,
letter,instance,0.4,gies,anticausal,
letter,instance,0.4,lingam,unkown,
letter,instance,0.4,cam,anticausal,
letter,pair,0.4,pc,causal,
letter,pair,0.4,ges,anticausal,
letter,pair,0.4,gies,anticausal,
letter,pair,0.4,lingam,unkown,
letter,pair,0.4,cam,anticausal,
letter,sym,0.4,pc,anticausal,
letter,sym,0.4,ges,anticausal,
letter,sym,0.4,gies,anticausal,
letter,sym,0.4,lingam,unkown,
letter,sym,0.4,cam,anticausal,
segment,instance,0.01,pc,anticausal,
segment,instance,0.01,ges,anticausal,
segment,instance,0.01,gies,anticausal,
segment,pair,0.01,pc,anticausal,
segment,pair,0.01,ges,anticausal,
segment,pair,0.01,gies,anticausal,
segment,instance,0.2,pc,anticausal,
segment,instance,0.2,ges,anticausal,
segment,instance,0.2,gies,anticausal,
segment,pair,0.2,pc,anticausal,
segment,pair,0.2,ges,anticausal,
segment,pair,0.2,gies,anticausal,
segment,sym,0.2,pc,anticausal,
segment,sym,0.2,ges,anticausal,
segment,sym,0.2,gies,anticausal,
segment,instance,0.4,pc,anticausal,
segment,instance,0.4,ges,anticausal,
segment,instance,0.4,gies,anticausal,
segment,pair,0.4,pc,anticausal,
segment,pair,0.4,ges,anticausal,
segment,pair,0.4,gies,anticausal,
segment,sym,0.4,pc,anticausal,
segment,sym,0.4,ges,anticausal,
segment,sym,0.4,gies,anticausal,
breastcancer,instance,0.01,pc,anticausal,
breastcancer,instance,0.01,ges,anticausal,
breastcancer,instance,0.01,gies,anticausal,
breastcancer,instance,0.01,lingam,unkown,
breastcancer,pair,0.01,pc,anticausal,
breastcancer,pair,0.01,ges,anticausal,
breastcancer,pair,0.01,gies,anticausal,
breastcancer,pair,0.01,lingam,unkown,
breastcancer,sym,0.01,pc,anticausal,
breastcancer,sym,0.01,ges,anticausal,
breastcancer,sym,0.01,gies,anticausal,
breastcancer,sym,0.01,lingam,unkown,
breastcancer,instance,0.2,pc,anticausal,
breastcancer,instance,0.2,ges,anticausal,
breastcancer,instance,0.2,gies,anticausal,
breastcancer,instance,0.2,lingam,unkown,
breastcancer,pair,0.2,pc,anticausal,
breastcancer,pair,0.2,ges,anticausal,
breastcancer,pair,0.2,gies,anticausal,
breastcancer,pair,0.2,lingam,unkown,
breastcancer,sym,0.2,pc,anticausal,
breastcancer,sym,0.2,ges,anticausal,
breastcancer,sym,0.2,gies,anticausal,
breastcancer,sym,0.2,lingam,unkown,
breastcancer,instance,0.4,pc,unkown,
breastcancer,instance,0.4,ges,unkown,
breastcancer,instance,0.4,gies,unkown,
breastcancer,instance,0.4,lingam,unkown,
breastcancer,pair,0.4,pc,unkown,
breastcancer,pair,0.4,ges,anticausal,
breastcancer,pair,0.4,gies,anticausal,
breastcancer,pair,0.4,lingam,unkown,
breastcancer,sym,0.4,pc,unkown,
breastcancer,sym,0.4,ges,anticausal,
breastcancer,sym,0.4,gies,anticausal,
breastcancer,sym,0.4,lingam,unkown,
g241c,instance,0.01,pc,anticausal,
g241c,instance,0.01,ges,anticausal,
g241c,instance,0.01,gies,anticausal,
g241c,instance,0.01,lingam,unkown,
g241c,pair,0.01,pc,anticausal,
g241c,pair,0.01,ges,anticausal,
g241c,pair,0.01,gies,anticausal,
g241c,pair,0.01,lingam,unkown,
g241c,sym,0.01,pc,anticausal,
g241c,sym,0.01,ges,anticausal,
g241c,sym,0.01,gies,anticausal,
g241c,sym,0.01,lingam,unkown,
g241c,instance,0.2,pc,unkown,
g241c,instance,0.2,ges,anticausal,
g241c,instance,0.2,gies,anticausal,
g241c,instance,0.2,lingam,unkown,
g241c,pair,0.2,pc,anticausal,
g241c,pair,0.2,ges,anticausal,
g241c,pair,0.2,gies,anticausal,
g241c,pair,0.2,lingam,unkown,
g241c,sym,0.2,pc,anticausal,
g241c,sym,0.2,ges,causal,
g241c,sym,0.2,gies,causal,
g241c,sym,0.2,lingam,unkown,
g241c,instance,0.4,pc,anticausal,
g241c,instance,0.4,ges,anticausal,
g241c,instance,0.4,gies,anticausal,
g241c,instance,0.4,lingam,unkown,
g241c,pair,0.4,pc,anticausal,
g241c,pair,0.4,ges,anticausal,
g241c,pair,0.4,gies,anticausal,
g241c,pair,0.4,lingam,unkown,
g241c,sym,0.4,pc,anticausal,
g241c,sym,0.4,ges,anticausal,
g241c,sym,0.4,gies,anticausal,
g241c,sym,0.4,lingam,unkown,
wdbc,instance,0.01,pc,anticausal,
wdbc,instance,0.01,ges,causal,
wdbc,instance,0.01,gies,causal,
wdbc,instance,0.01,lingam,unkown,
wdbc,pair,0.01,pc,anticausal,
wdbc,pair,0.01,ges,anticausal,
wdbc,pair,0.01,gies,anticausal,
wdbc,pair,0.01,lingam,unkown,
wdbc,sym,0.01,pc,anticausal,
wdbc,sym,0.01,ges,anticausal,
wdbc,sym,0.01,gies,anticausal,
wdbc,sym,0.01,lingam,unkown,
wdbc,instance,0.1,pc,anticausal,
wdbc,instance,0.1,ges,causal,
wdbc,instance,0.1,gies,causal,
wdbc,instance,0.1,lingam,unkown,
wdbc,pair,0.1,pc,anticausal,
wdbc,pair,0.1,ges,anticausal,
wdbc,pair,0.1,gies,anticausal,
wdbc,pair,0.1,lingam,unkown,
wdbc,sym,0.1,pc,anticausal,
wdbc,sym,0.1,ges,anticausal,
wdbc,sym,0.1,gies,anticausal,
wdbc,sym,0.1,lingam,unkown,
wdbc,instance,0.2,pc,anticausal,
wdbc,instance,0.2,ges,causal,
wdbc,instance,0.2,gies,causal,
wdbc,instance,0.2,lingam,unkown,
wdbc,pair,0.2,pc,unkown,
wdbc,pair,0.2,ges,causal,
wdbc,pair,0.2,gies,causal,
wdbc,pair,0.2,lingam,unkown,
wdbc,sym,0.2,pc,unkown,
wdbc,sym,0.2,ges,causal,
wdbc,sym,0.2,gies,causal,
wdbc,sym,0.2,lingam,unkown,
wdbc,instance,0.3,pc,unkown,
wdbc,instance,0.3,ges,causal,
wdbc,instance,0.3,gies,causal,
wdbc,instance,0.3,lingam,unkown,
wdbc,pair,0.3,pc,unkown,
wdbc,pair,0.3,ges,causal,
wdbc,pair,0.3,gies,causal,
wdbc,pair,0.3,lingam,unkown,
wdbc,sym,0.3,pc,unkown,
wdbc,sym,0.3,ges,causal,
wdbc,sym,0.3,gies,causal,
wdbc,sym,0.3,lingam,unkown,
coil,instance,0.01,pc,causal,
coil,instance,0.01,ges,anticausal,
coil,instance,0.01,gies,anticausal,
coil,instance,0.01,lingam,unkown,
coil,pair,0.01,pc,unkown,
coil,pair,0.01,ges,anticausal,
usps,instance,0.01,pc,causal,
usps,instance,0.01,ges,causal,
usps,instance,0.01,gies,causal,
usps,instance,0.01,lingam,unkown,
usps,pair,0.01,pc,causal,
usps,pair,0.01,ges,anticausal,
usps,pair,0.01,gies,anticausal,
usps,pair,0.01,lingam,unkown,
usps,sym,0.01,pc,causal,
usps,sym,0.01,ges,anticausal,
usps,sym,0.01,gies,anticausal,
usps,sym,0.01,lingam,unkown,
usps,instance,0.1,pc,unkown,
usps,instance,0.1,ges,anticausal,
usps,instance,0.1,gies,anticausal,
usps,instance,0.1,lingam,unkown,
usps,pair,0.1,pc,causal,
usps,pair,0.1,ges,causal,
usps,pair,0.1,gies,causal,
usps,pair,0.1,lingam,unkown,
usps,sym,0.1,pc,causal,
usps,sym,0.1,ges,causal,
usps,sym,0.1,gies,causal,
usps,sym,0.1,lingam,unkown,
usps,instance,0.2,pc,unkown,
usps,instance,0.2,ges,causal,
usps,instance,0.2,gies,causal,
usps,instance,0.2,lingam,unkown,
usps,pair,0.2,pc,anticausal,
usps,pair,0.2,ges,anticausal,
usps,pair,0.2,gies,anticausal,
usps,pair,0.2,lingam,unkown,
usps,sym,0.2,pc,anticausal,
usps,sym,0.2,ges,anticausal,
usps,sym,0.2,gies,anticausal,
usps,sym,0.2,lingam,unkown,
usps,instance,0.3,pc,unkown,
usps,instance,0.3,ges,anticausal,
usps,instance,0.3,gies,anticausal,
usps,instance,0.3,lingam,unkown,
usps,pair,0.3,pc,unkown,
usps,pair,0.3,ges,causal,
usps,pair,0.3,gies,causal,
usps,pair,0.3,lingam,unkown,
usps,sym,0.3,pc,unkown,
usps,sym,0.3,ges,causal,
usps,sym,0.3,gies,causal,
usps,sym,0.3,lingam,unkown,
iris,instance,0.1,pc,unkown,
iris,instance,0.1,ges,causal,
iris,instance,0.1,gies,causal,
iris,instance,0.1,lingam,unkown,
iris,pair,0.1,pc,anticausal,
iris,pair,0.1,ges,causal,
iris,pair,0.1,gies,causal,
iris,pair,0.1,lingam,unkown,
iris,sym,0.1,pc,anticausal,
iris,sym,0.1,ges,causal,
iris,sym,0.1,gies,causal,
iris,sym,0.1,lingam,unkown,
iris,instance,0.3,pc,unkown,
iris,instance,0.3,ges,causal,
iris,instance,0.3,gies,causal,
iris,instance,0.3,lingam,unkown,
iris,pair,0.3,pc,unkown,
iris,pair,0.3,ges,causal,
iris,pair,0.3,gies,causal,
iris,pair,0.3,lingam,unkown,
iris,sym,0.3,pc,unkown,
iris,sym,0.3,ges,causal,
iris,sym,0.3,gies,causal,
iris,sym,0.3,lingam,unkown,
krkp,instance,0.1,pc,anticausal,
krkp,instance,0.1,ges,anticausal,
krkp,instance,0.1,gies,anticausal,
krkp,instance,0.1,lingam,unkown,
krkp,pair,0.1,pc,causal,
krkp,pair,0.1,ges,anticausal,
krkp,pair,0.1,gies,anticausal,
krkp,pair,0.1,lingam,unkown,
krkp,sym,0.1,pc,causal,
krkp,sym,0.1,ges,anticausal,
krkp,sym,0.1,gies,anticausal,
krkp,sym,0.1,lingam,unkown,
krkp,instance,0.3,pc,anticausal,
krkp,instance,0.3,ges,anticausal,
krkp,instance,0.3,gies,anticausal,
krkp,instance,0.3,lingam,unkown,
krkp,pair,0.3,pc,anticausal,
krkp,pair,0.3,ges,anticausal,
krkp,pair,0.3,gies,anticausal,
krkp,pair,0.3,lingam,unkown,
krkp,sym,0.3,pc,anticausal,
krkp,sym,0.3,ges,anticausal,
krkp,sym,0.3,gies,anticausal,
krkp,sym,0.3,lingam,unkown,
mushroom,instance,0.1,pc,anticausal,
mushroom,instance,0.1,ges,anticausal,
mushroom,instance,0.1,gies,anticausal,
mushroom,pair,0.1,pc,anticausal,
mushroom,pair,0.1,ges,anticausal,
mushroom,pair,0.1,gies,anticausal,
mushroom,sym,0.1,pc,anticausal,
mushroom,sym,0.1,ges,anticausal,
mushroom,sym,0.1,gies,anticausal,
mushroom,instance,0.3,pc,anticausal,
mushroom,instance,0.3,ges,anticausal,
mushroom,instance,0.3,gies,anticausal,
mushroom,pair,0.3,pc,anticausal,
mushroom,pair,0.3,ges,anticausal,
mushroom,pair,0.3,gies,anticausal,
mushroom,sym,0.3,pc,anticausal,
mushroom,sym,0.3,ges,anticausal,
mushroom,sym,0.3,gies,anticausal,
splice,instance,0.1,pc,anticausal,
splice,instance,0.1,ges,anticausal,
splice,instance,0.1,gies,anticausal,
splice,instance,0.1,lingam,unkown,
splice,pair,0.1,pc,anticausal,
splice,pair,0.1,ges,anticausal,
splice,pair,0.1,gies,anticausal,
splice,pair,0.1,lingam,unkown,
splice,sym,0.1,pc,anticausal,
splice,sym,0.1,ges,anticausal,
splice,sym,0.1,gies,anticausal,
splice,sym,0.1,lingam,unkown,
splice,instance,0.3,pc,anticausal,
splice,instance,0.3,ges,anticausal,
splice,instance,0.3,gies,anticausal,
splice,instance,0.3,lingam,unkown,
splice,pair,0.3,pc,anticausal,
splice,pair,0.3,ges,anticausal,
splice,pair,0.3,gies,anticausal,
splice,pair,0.3,lingam,unkown,
splice,sym,0.3,pc,anticausal,
splice,sym,0.3,ges,anticausal,
splice,sym,0.3,gies,anticausal,
splice,sym,0.3,lingam,unkown,
waveform,instance,0.1,pc,anticausal,
waveform,instance,0.1,ges,causal,
waveform,instance,0.1,gies,causal,
waveform,instance,0.1,lingam,unkown,
waveform,pair,0.1,pc,anticausal,
waveform,pair,0.1,ges,causal,
waveform,pair,0.1,gies,causal,
waveform,pair,0.1,lingam,unkown,
waveform,sym,0.1,pc,anticausal,
waveform,sym,0.1,ges,causal,
waveform,sym,0.1,gies,causal,
waveform,sym,0.1,lingam,unkown,
waveform,instance,0.3,pc,anticausal,
waveform,instance,0.3,ges,causal,
waveform,instance,0.3,gies,causal,
waveform,instance,0.3,lingam,unkown,
waveform,pair,0.3,pc,anticausal,
waveform,pair,0.3,ges,causal,
waveform,pair,0.3,gies,causal,
waveform,pair,0.3,lingam,unkown,
waveform,sym,0.3,pc,anticausal,
waveform,sym,0.3,ges,causal,
waveform,sym,0.3,gies,causal,
waveform,sym,0.3,lingam,unkown,
secstr,instance,0.1,pc,anticausal,
secstr,instance,0.1,ges,anticausal,
secstr,instance,0.1,gies,anticausal,
secstr,instance,0.1,lingam,unkown,
secstr,pair,0.1,pc,anticausal,
secstr,pair,0.1,ges,anticausal,
secstr,pair,0.1,gies,anticausal,
secstr,pair,0.1,lingam,unkown,
secstr,sym,0.1,pc,anticausal,
secstr,sym,0.1,ges,anticausal,
secstr,sym,0.1,gies,anticausal,
secstr,sym,0.1,lingam,unkown,
secstr,instance,0.3,pc,anticausal,
secstr,instance,0.3,ges,causal,
secstr,instance,0.3,gies,causal,
secstr,instance,0.3,lingam,unkown,
secstr,pair,0.3,pc,anticausal,
secstr,pair,0.3,ges,anticausal,
secstr,pair,0.3,gies,anticausal,
secstr,pair,0.3,lingam,unkown,
secstr,sym,0.3,pc,anticausal,
secstr,sym,0.3,ges,anticausal,
secstr,sym,0.3,gies,anticausal,
secstr,sym,0.3,lingam,unkown,
letter,instance,0.1,pc,anticausal,
letter,instance,0.1,ges,anticausal,
letter,instance,0.1,gies,anticausal,
letter,instance,0.1,lingam,unkown,
letter,pair,0.1,pc,anticausal,
letter,pair,0.1,ges,anticausal,
letter,pair,0.1,gies,anticausal,
letter,pair,0.1,lingam,unkown,
letter,sym,0.1,pc,anticausal,
letter,sym,0.1,ges,anticausal,
letter,sym,0.1,gies,anticausal,
letter,sym,0.1,lingam,unkown,
letter,instance,0.3,pc,anticausal,
letter,instance,0.3,ges,anticausal,
letter,instance,0.3,gies,anticausal,
letter,instance,0.3,lingam,unkown,
letter,pair,0.3,pc,anticausal,
letter,pair,0.3,ges,anticausal,
letter,pair,0.3,gies,anticausal,
letter,pair,0.3,lingam,unkown,
letter,sym,0.3,pc,anticausal,
letter,sym,0.3,ges,anticausal,
letter,sym,0.3,gies,anticausal,
letter,sym,0.3,lingam,unkown,
segment,instance,0.1,pc,anticausal,
segment,instance,0.1,ges,anticausal,
segment,instance,0.1,gies,anticausal,
segment,pair,0.1,pc,anticausal,
segment,pair,0.1,ges,anticausal,
segment,pair,0.1,gies,anticausal,
segment,sym,0.1,pc,anticausal,
segment,sym,0.1,ges,anticausal,
segment,sym,0.1,gies,anticausal,
segment,instance,0.3,pc,anticausal,
segment,instance,0.3,ges,anticausal,
segment,instance,0.3,gies,anticausal,
segment,pair,0.3,pc,anticausal,
segment,pair,0.3,ges,anticausal,
segment,pair,0.3,gies,anticausal,
segment,sym,0.3,pc,anticausal,
segment,sym,0.3,ges,anticausal,
segment,sym,0.3,gies,anticausal,
g241c,instance,0.1,pc,anticausal,
g241c,instance,0.1,ges,anticausal,
g241c,instance,0.1,gies,anticausal,
g241c,instance,0.1,lingam,unkown,
g241c,pair,0.1,pc,anticausal,
g241c,pair,0.1,ges,anticausal,
g241c,pair,0.1,gies,anticausal,
g241c,pair,0.1,lingam,unkown,
g241c,sym,0.1,pc,anticausal,
g241c,sym,0.1,ges,causal,
g241c,sym,0.1,gies,causal,
g241c,sym,0.1,lingam,unkown,
g241c,instance,0.3,pc,anticausal,
g241c,instance,0.3,ges,anticausal,
g241c,instance,0.3,gies,anticausal,
g241c,instance,0.3,lingam,unkown,
g241c,pair,0.3,pc,anticausal,
g241c,pair,0.3,ges,anticausal,
g241c,pair,0.3,gies,anticausal,
g241c,pair,0.3,lingam,unkown,
g241c,sym,0.3,pc,anticausal,
g241c,sym,0.3,ges,causal,
g241c,sym,0.3,gies,causal,
iris,pair,0.02,pc,anticausal,
pair0047,pair,0.02,pc,anticausal,
pair0070,pair,0.02,pc,anticausal,
pair0070,pair,0.02,pc,anticausal,
pair0071,pair,0.02,pc,anticausal,
iris,pair,0.02,score,unkown,
iris,pair,0.02,score,unkown,
splice,instance,0.1,fci,anticausal,0:01:04.506178
splice,instance,0.1,icd,anticausal,0:00:44.027119
splice,pair,0.1,fci,anticausal,0:00:40.633673
splice,pair,0.1,icd,anticausal,0:00:43.216878
splice,sym,0.1,fci,anticausal,0:00:55.741337
splice,sym,0.1,icd,anticausal,1:35:55.584023
splice,instance,0.2,fci,anticausal,0:00:41.093883
splice,instance,0.2,icd,anticausal,0:00:05.673935
splice,pair,0.2,fci,anticausal,0:00:40.316590
splice,pair,0.2,icd,anticausal,0:00:38.316092
splice,sym,0.2,fci,anticausal,0:00:38.150884
splice,sym,0.2,icd,anticausal,0:00:05.442259
splice,instance,0.3,fci,anticausal,0:00:38.404231
splice,instance,0.3,icd,anticausal,0:00:05.594091
splice,pair,0.3,fci,anticausal,0:00:40.329241
splice,pair,0.3,icd,anticausal,0:00:39.080140
splice,sym,0.3,fci,anticausal,0:00:38.910473
splice,sym,0.3,icd,anticausal,0:00:05.524122
wdbc,instance,0.1,icd,anticausal,0:05:44.360782
